date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:26	53436/53436	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2009:02:26%20GMT	https://maestrolux.vercel.app/medical/en/index.html	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/en/index.html	(from )
14:32:27	78/78	---M--	200	added ('OK')	text/plain	date:Tue,%2029%20Jun%202021%2009:02:27%20GMT	https://maestrolux.vercel.app/robots.txt		(from )
14:32:28	3596/3596	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:28%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/apple-icon-57x57.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:28	3736/3736	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:28%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/apple-icon-60x60.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:29	4554/4554	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:29%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/apple-icon-72x72.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:29	4875/4875	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:29%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/apple-icon-76x76.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:30	7966/7966	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:30%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/apple-icon-114x114.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:31	8453/8453	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:31%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/apple-icon-120x120.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:31	10944/10944	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:31%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/apple-icon-144x144.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/apple-icon-144x144.png	(from https://maestrolux.vercel.app/medical/en/index.html)
14:32:32	11945/11945	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Jun%202021%2009:02:32%20GMT	https://maestrolux.vercel.app/medical/assets/favicons/apple-icon-152x152.png	C:/My%20Web%20Sites/Maestrolux/maestrolux.vercel.app/medical/assets/favicons/apple-icon-152x152.png	(from https://maestrolux.vercel.app/medical/en/index.html)
